id,area,criterio,metodo,status,evidencia,detalhe
INV-001,baseline,"HEAD igual ao baseline fixo","git rev-parse HEAD",OK,"inventario.csv","f814f80efbab84bf43b671bf544c4678d4dda82a"
INV-002,baseline,"Worktree limpo","git status --porcelain=v1 --untracked-files=all",OK,"evidencias/inventario_summary.json","zero alterações"
INV-003,inventario,"Árvore Git integral contabilizada","git ls-tree -r -l --full-tree",OK,"inventario.csv","1023 arquivos; 21 em auditoria; 20 sob auditoria/execucoes"
INV-004,inventario,"Filesystem integral reconciliado com poda antes de auditoria/execucoes","enumeração própria com dotfiles e extensões desconhecidas + git hash-object",OK,"inventario.csv","1002 arquivos autorizados; 0 faltantes; 0 extras; 0 OID divergente"
INV-005,isolamento,"Conteúdo de relatórios/achados prévios não interpretado","poda e marcação content_read=N",OK,"inventario.csv","auditoria/** e artefatos anteriores sensíveis não foram usados como fonte de achado"
BUILD-001,build,"Toolchain igual ao workflow versionado","Ruby 3.1 + github-pages 232 + Jekyll 3.10.0",OK,"evidencias/build.log","jekyll build exit 0"
BUILD-002,build,"Projeção Pages mínima","enumeração e hash de toda saída",OK,"build/site","4 arquivos: index.html; 404.html; llms.txt; robots.txt"
BUILD-003,build,"Entradas excluídas não emitidas","diff de universo Git contra saída",OK,"inventario.csv; build/site","1023 entradas Git para 4 arquivos emitidos"
CRAWL-001,crawl_local,"Todas as rotas derivadas localmente testadas","HTTP local sobre build",OK,"crawl_local.csv","1070 rotas; 5 HTTP 200; 1065 HTTP 404; 0 erros"
CRAWL-002,crawl_producao,"Todas as rotas do portal derivadas testadas","GET/HEAD HTTP produção",OK,"crawl_producao.csv","1070 rotas do portal; 5 HTTP 200; 1065 HTTP 404; 0 erros"
CRAWL-003,crawl_producao,"Links externos testados","HEAD HTTP concorrente",A VALIDAR,"crawl_producao.csv","562 URLs; 448 HTTP 200; 21 HTTP 403; 6 HTTP 404; 87 erros/timeout"
HTTP-001,superficie_publica,"Somente superfícies seguras respondem 200","reconciliação integral de status",OK,"crawl_producao.csv","raiz; index.html; 404.html; llms.txt; robots.txt"
HTTP-002,superficie_publica,"Produção corresponde ao build após normalização de EOL","SHA-256 após CRLF->LF",OK,"revisao.md","4 arquivos byte-equivalentes após normalização LF; raiz=índice"
ROBOTS-001,robots,"Bloqueio global de robôs","leitura integral de robots.txt",OK,"crawl_producao.csv","User-agent: * / Disallow: /"
ROBOTS-002,meta_robots,"Páginas HTML públicas bloqueiam indexação e arquivo","parse HTML",OK,"crawl_producao.csv","noindex,nofollow,noarchive em index e 404"
WARN-001,aviso,"Raiz pública apresenta aviso de revisão e não orientação","DOM e texto visível",OK,"evidencias/visual.json","aviso presente em local e produção"
A11Y-001,acessibilidade,"Estrutura mínima em index e 404","lang/title/viewport/main/h1/meta robots",OK,"evidencias/visual.json","0 falhas estruturais nas 4 combinações local/produção"
VIS-001,responsividade,"Sem overflow horizontal em 390x844 e 1440x900","Playwright + bounding boxes",OK,"evidencias/visual.json","8 renderizações; 0 elementos excedentes; 0 overflow"
HTML-001,html,"Todos os HTML autorizados foram analisados estruturalmente","BeautifulSoup/lxml",OK,"evidencias/html_analysis.csv","656 HTML analisados; 2 artefatos anteriores não interpretados por blindagem"
MAN-001,manifestos,"Todos os manifest.json autorizados são JSON válido","parse integral",OK,"evidencias/manifest_analysis.csv","12 manifestos; 0 inválidos"
QUAR-001,quarentena,"Todo ID de quarentena ausente do build e produção","busca normalizada item a item",OK,"evidencias/quarantine_checks.csv","13150/13150 verificados; 0 ocorrências"
QUAR-002,quarentena,"Todo literal de quarentena ausente do build e produção","busca normalizada de campos com >=16 caracteres",OK,"evidencias/quarantine_checks.csv","68436 literais em 13150 registros; 0 ocorrências"
QUAR-003,quarentena,"Todo fingerprint de registro ausente do build e produção","SHA-256 de JSON canônico item a item",OK,"evidencias/quarantine_checks.csv","13150/13150 verificados; 0 ocorrências"
HIST-001,historico,"Todos os candidatos históricos derivados por nome/rota não são públicos","status HTTP + ID de path + SHA-256",OK,"evidencias/historical_checks.csv","57/57 HTTP 404; 0 falhas"
LINK-001,navegacao,"Links internos publicados não quebram","crawl das cinco superfícies 200",OK,"crawl_producao.csv","as superfícies públicas não expõem navegação histórica"
MATRIX-001,jurisdicoes,"Matriz conceitual integral 27 UFs x SEFAZ_LEGISLACAO/DOE/ASSEMBLEIA_LEGISLATIVA","re-derivação item a item de HTML cru",BLOQUEADO,"revisao.md","81 células não foram fechadas antes da ordem de encerramento; não inferidas de matriz prévia"
FED-001,federal,"Famílias PLANALTO/DOU/RFB/PGFN/4xCONFAZ/CGIBS-TCS/SENADO/STF/STJ/CARF","re-derivação item a item de links crus",BLOQUEADO,"revisao.md","classificação integral não foi concluída; sem uso de relatório/matriz anterior"
NATIVE-001,recibo_nativo,"Recibo nativo GitHub Pages vincula produção ao baseline","API de deployment/Pages/Actions",BLOQUEADO,"revisao.md","não coletado antes da ordem de encerramento; HTTP e build local não substituem recibo nativo"
RAC-001,rito,"Critérios falsificáveis registrados antes da coleta","workflow do rito",OK,"rito/workflow.md","P1 anterior à coleta"
RAC-002,rito,"Ledger com status e evidência","validação manual",OK,"ledger.csv","status restritos a OK/A VALIDAR/BLOQUEADO"
RAC-003,rito,"Revisão adversarial com cadeias re-derivadas","fonte crua e hashes",OK,"revisao.md","marcadores literais registrados"
RAC-004,rito,"Detalhe sustenta contagens e resumos","recontagem integral",OK,"inventario.csv; crawl_local.csv; crawl_producao.csv","contagens detalhadas preservadas"
RAC-005,rito,"Fechamento coerente com pendências","regra de decisão",OK,"final.json","Decisão NÃO CONFORME; Status BLOQUEADO"
